HAPLO	Estimate	SE	Z	P	FREQ_CASE	FREQ_CONTROL
B_702	0.171597	0.050358	3.408	0.000656	0.172334859	0.14994816
C_702	0.147183	0.049464	2.976	0.00292	0.179411765	0.159751992
DRB1_801	0.344399	0.120605	2.856	0.0043	0.026143791	0.018598429
DQA1_401	0.322478	0.116969	2.757	0.00583	0.027124183	0.019871168
DQA1_102	0.113138	0.046746	2.42	0.0155	0.209751309	0.191426598
DQB1_402	0.282785	0.117867	2.399	0.0164	0.026505236	0.020217998
A_3001	0.371018	0.160386	2.313	0.0207	0.014052288	0.009704969
DRB1_1104	0.35046	0.165159	2.122	0.0338	0.014812377	0.011312805
DRB1_404	-0.224967	0.106806	-2.106	0.0352	0.032501641	0.041101438
DQA1_301	-0.096834	0.048204	-2.009	0.0446	0.188562092	0.204747091
DRB1_1302	0.181624	0.091167	1.992	0.0463	0.045484293	0.037708172
DRB5_101	0.102935	0.051996	1.98	0.0477	0.156638326	0.144270878
DRB1_101	-0.134502	0.068165	-1.973	0.0485	0.08513425	0.094983008
DRB1_1501	0.101262	0.052143	1.942	0.0521	0.156965337	0.144799701
DQB1_604	0.203599	0.107107	1.901	0.0573	0.032679739	0.02704569
DPB1_501	-0.278076	0.148655	-1.871	0.0614	0.016339869	0.021021583
DQB1_602	0.095781	0.052769	1.815	0.0695	0.154300722	0.142531587
DQB1_302	-0.114981	0.064066	-1.795	0.0727	0.094771242	0.104886256
C_701	-0.090925	0.051259	-1.774	0.0761	0.162197515	0.1754338
DQB1_603	-0.161242	0.091053	-1.771	0.0766	0.044829843	0.051881217
DQA1_103	-0.154506	0.087974	-1.756	0.079	0.047416612	0.054990931
C_501	-0.106374	0.061646	-1.726	0.0844	0.102614379	0.113660558
DRB1_1301	-0.149974	0.091275	-1.643	0.1004	0.044146501	0.050841848
DRB3_301	0.150926	0.092454	1.632	0.1026	0.044117647	0.037760005
DRB5_9901	-0.083168	0.051313	-1.621	0.1051	0.837908497	0.848339186
B_1302	0.197847	0.125499	1.576	0.1149	0.023202614	0.019123953
DRB1_401	-0.086082	0.061592	-1.398	0.1622	0.107590759	0.116214961
B_801	-0.077432	0.055613	-1.392	0.164	0.133267845	0.143418326
DPB1_201	0.083506	0.061723	1.353	0.17608	0.117161716	0.109149814
B_5501	0.171903	0.128836	1.334	0.1821	0.021895425	0.018559549
DRB4_9901	0.052725	0.039808	1.324	0.1853	0.661543492	0.650478303
B_2705	-0.131284	0.101468	-1.294	0.1957	0.036393443	0.041212907
B_3503	0.233	0.186234	1.251	0.2109	0.011147541	0.008355904
DQA1_101	-0.068136	0.054957	-1.24	0.215	0.135709614	0.141924349
B_4402	-0.074855	0.061672	-1.214	0.2248	0.103008502	0.111805896
C_1601	0.098577	0.088461	1.114	0.2651	0.048039216	0.0432413
DRB4_103	-0.04858	0.043825	-1.108	0.2676	0.252305665	0.262286062
A_3201	-0.120186	0.108426	-1.108	0.2677	0.031045752	0.034521927
B_4403	0.084801	0.078008	1.087	0.277	0.063440157	0.057275319
DRB1_1401	-0.146084	0.145412	-1.005	0.3151	0.017365662	0.019357163
A_6801	0.103034	0.105532	0.976	0.329	0.033049738	0.030471313
DPA1_103	0.047385	0.049013	0.967	0.3337	0.820915033	0.815181755
A_2902	0.087422	0.091885	0.951	0.3414	0.044444444	0.041352735
DQB1_501	-0.055573	0.058699	-0.947	0.3438	0.116415958	0.120749669
A_3101	-0.113646	0.12152	-0.935	0.3497	0.024509804	0.026499684
C_1203	-0.105843	0.116525	-0.908	0.3637	0.026797386	0.028656467
DPA1_202	-0.098515	0.110283	-0.893	0.3717	0.030392157	0.032336018
A_2501	-0.14408	0.162064	-0.889	0.374	0.015399738	0.017793338
B_1501	-0.066293	0.080749	-0.821	0.4117	0.059171598	0.061992193
DQB1_609	0.138697	0.172419	0.804	0.4212	0.012418301	0.010327666
DQB1_503	-0.108251	0.13497	-0.802	0.4225	0.019960733	0.021455278
B_4001	-0.064537	0.084537	-0.763	0.445	0.052062868	0.055854663
DRB3_202	-0.043119	0.056962	-0.757	0.4491	0.128599476	0.132758422
C_202	-0.072997	0.102017	-0.716	0.4743	0.035317201	0.037194719
DPB1_401	0.026587	0.03863	0.688	0.4913	0.451421018	0.446194149
DRB1_701	0.035309	0.05246	0.673	0.5009	0.152486911	0.146457668
B_3501	-0.062162	0.093288	-0.666	0.5052	0.043963255	0.04643538
DQB1_202	0.045054	0.068118	0.661	0.5083	0.109364768	0.103547653
B_1801	0.063486	0.09882	0.642	0.5206	0.038335518	0.035928316
DQA1_201	0.033003	0.052716	0.626	0.5313	0.152287582	0.146516246
DRB1_103	0.077282	0.140975	0.548	0.5836	0.018664047	0.017241876
DPB1_601	-0.122596	0.229212	-0.535	0.5927	0.011125654	0.012177154
B_3701	-0.096244	0.182093	-0.529	0.5971	0.010798429	0.012645662
DQB1_301	-0.026345	0.050352	-0.523	0.6008	0.170045782	0.175825917
DPB1_301	-0.035046	0.067854	-0.516	0.60552	0.100871314	0.102406782
DPB1_402	0.030196	0.061113	0.494	0.6212	0.109580052	0.108057446
DPA1_201	-0.024934	0.053806	-0.463	0.6431	0.14379085	0.145699079
DQB1_303	0.037276	0.083272	0.448	0.6544	0.053921569	0.05246958
DRB4_101	-0.030117	0.07007	-0.43	0.6673	0.082403152	0.083000579
DPB1_101	0.033015	0.078476	0.421	0.674	0.061151079	0.05941207
DPB1_1101	0.046774	0.116922	0.4	0.6891	0.026797386	0.02557611
C_401	0.026679	0.067133	0.397	0.6911	0.08627451	0.082803647
DPB1_1701	0.062477	0.176242	0.354	0.723	0.011764706	0.010942398
C_802	0.030513	0.099662	0.306	0.7595	0.037581699	0.036135396
DRB1_1101	-0.034927	0.114417	-0.305	0.7602	0.032364597	0.033715696
C_704	0.039011	0.145861	0.267	0.7891	0.016993464	0.01735492
DRB1_1201	0.041931	0.157095	0.267	0.7895	0.015062213	0.014352758
B_1402	0.030536	0.117962	0.259	0.796	0.026505236	0.025355232
DRB3_101	0.012177	0.050665	0.24	0.81	0.165575916	0.166642682
DRB3_9901	-0.008617	0.039966	-0.216	0.8293	0.660327869	0.661196438
DRB1_301	0.01057	0.053142	0.199	0.8423	0.147712418	0.14765371
A_2301	0.025782	0.141377	0.182	0.8553	0.017973856	0.017513084
A_2601	-0.026168	0.144188	-0.181	0.856	0.017997382	0.019508754
DPB1_1001	-0.026349	0.150939	-0.175	0.8614	0.016666667	0.016832253
DQA1_501	0.007835	0.04538	0.173	0.8629	0.230314961	0.230753693
C_102	-0.016418	0.1037	-0.158	0.8742	0.033660131	0.034235348
A_101	-0.00757	0.048056	-0.158	0.875	0.191753927	0.194704901
B_1401	0.025988	0.175007	0.148	0.882	0.012099411	0.011777056
B_5701	-0.011442	0.097054	-0.118	0.9062	0.039542484	0.039959724
DQB1_201	-0.006002	0.053348	-0.113	0.9104	0.146269634	0.14905481
A_2402	-0.007898	0.07214	-0.109	0.9128	0.075163399	0.074186114
A_1101	0.008409	0.077768	0.108	0.9139	0.062132112	0.060745109
