HLA	rs4140646_A	rs9261484_T	rs504594_A
DQA1_301	-0.066359185	0.162735406	0.950678617
DRB1_401	-0.056283569	0.181215877	0.747622212
DRB4_103	-0.076064373	0.120300139	0.740883646
DQB1_302	-0.031988282	0.077574282	0.684528522
DRB1_404	-0.016559971	0.049704943	0.421101982
DQB1_301	-0.071004339	0.117334561	0.358381422
DRB3_9901	-0.167450982	0.09058493	0.341471076
B_4402	-0.060618583	0.256301632	0.226914268
DPB1_601	-0.012444759	0.03518175	0.2220618
DRB1_407	-0.024830485	-0.020225318	0.218765204
C_304	-0.054946223	0.229357004	0.214257691
C_501	-0.057858053	0.257599803	0.213639009
DRB5_9901	0.065639039	0.010263913	0.20652303
B_1501	-0.041170029	0.09744972	0.153254351
B_4001	-0.036379023	0.16651945	0.139071409
A_201	-0.034916159	0.645080314	0.138987484
DRB1_403	-0.006264447	-0.002426656	0.135703347
DRB1_405	-0.003501959	-0.016345731	0.130895307
DPA1_103	-0.041882279	0.022719622	0.118289043
DRB1_402	-0.006092153	-0.003818897	0.112485963
A_3101	-0.046246919	0.102173718	0.109405378
DRB1_408	0.012054878	0.013369312	0.098291934
C_303	-0.044090846	-0.028469277	0.087099349
DPB1_401	-0.001919925	0.022213431	0.082525637
DQA1_303	-0.001950934	0.014385242	0.079819523
DQB1_304	0.011510931	-0.009231479	0.067869006
C_1502	-0.018358345	-0.01284215	0.05842786
B_4501	-0.036651371	-0.032610747	0.044606643
A_206	0.036898567	-0.027903206	0.043783507
DPB1_2001	-0.009045514	0.010050238	0.042120634
C_202	-0.016670097	-0.014869909	0.041282228
B_5501	-0.040380677	-0.034300132	0.037088094
DRB1_406	-0.003939697	-0.004728876	0.036302843
B_2705	-0.018203305	0.027050268	0.034191195
B_5101	-0.012037978	0.009917055	0.021728893
B_3521	-0.006035193	-0.00017146	0.021633301
B_3503	-0.006651714	0.010882533	0.020994018
DPA1_104	-0.010506431	0.026716253	0.019002043
B_4006	0.002038283	0.000823901	0.018998434
DPB1_301	-0.000507074	0.008867733	0.017392678
DQB1_605	-0.005690213	-0.009792678	0.017271197
A_6801	-0.065482679	0.005325837	0.016510451
DQB1_401	0.009250067	-0.003354057	0.016491744
A_202	0.015889945	-0.002040171	0.015215413
B_3902	5.6146E-05	0.005850256	0.014939245
B_4801	0.000137548	-0.002878743	0.014732867
B_7301	-0.00706029	0.00389465	0.014336464
DPB1_1501	0.002441899	0.025274479	0.014116417
B_4901	-0.028900009	-0.017584907	0.013590142
A_1101	-0.079944714	-0.121259003	0.013498512
B_1518	-0.010639573	0.003136701	0.013460786
B_3508	-0.011182531	-0.006726017	0.013027068
A_2608	-0.008918791	-0.011157576	0.01261122
C_1504	0.004426758	-0.007461104	0.011180551
B_2703	-0.003419777	-0.007250658	0.010416846
A_2407	0.008245503	-0.001930278	0.008269659
DRB1_410	5.6146E-05	-0.006193177	0.008245188
DPB1_3301	-0.006035193	0.005850256	0.008245188
A_207	-0.006035193	0.005850256	0.008245188
A_2404	-0.006035193	0.011871973	0.008245188
B_1529	-0.006035193	0.011871973	0.008245188
B_1524	-0.004518821	-0.001485156	0.008127123
C_801	0.00143053	-0.004254141	0.007920245
B_5107	-0.005407814	-0.001569255	0.007915858
B_4101	-0.008383756	-0.002891735	0.0078017
A_205	-0.025950001	0.089535281	0.007008721
B_3505	-0.004227941	0.004015626	0.006927236
B_1525	7.94047E-05	-0.000242488	0.006927236
B_5901	-0.004267467	-0.004379177	0.005830148
DRB1_811	-0.004267467	0.004136699	0.005830148
DRB1_807	-0.004267467	0.004136699	0.005830148
B_3541	0.004346868	0.012652574	0.005830148
B_5401	-0.004267467	-0.004379177	0.005830148
DRB1_411	-0.004267467	0.004136699	0.005830148
B_8201	-0.004267467	-0.004379177	0.005830148
A_3004	0.024723525	0.048760437	0.005126736
B_4701	0.036601884	-0.020902069	0.00479128
C_1604	-0.008636519	-0.012396269	0.004774046
DRB1_1321	-0.007391674	-0.007585166	0.004632642
B_3522	-0.007391674	0.012081949	0.004632642
DRB3_210	-0.002418048	0.00716517	0.004632642
DPB1_502	-0.001837552	0.001633199	0.004569591
B_1507	0.002015109	-0.005984052	0.004569591
B_1508	-0.005690213	-0.002175427	0.004569591
B_5802	9.72531E-05	0.003179837	0.002686788
C_1602	-0.003691742	0.016126136	0.002218586
B_705	-0.015290691	-0.017920174	0.001876907
DRB1_802	0.002542867	0.007740403	0.001856827
B_4201	-0.004188528	-0.007461104	0.001712809
B_4009	-0.006035193	-0.00017146	0.001551132
B_1505	0.006147485	0.005850256	0.001551132
B_2704	5.6146E-05	-0.006193177	0.001551132
A_3201	-0.043887583	0.015722784	0.001417388
A_3402	-0.01153714	-0.013755687	0.000491476
B_5502	0.00972043	0.001633199	0.000335722
B_1516	0.007186331	0.007740403	0.000155852
DQA1_509	-0.00293362	0.008690373	-0.000244785
C_1505	-0.014529353	-0.012295692	-0.000444501
A_7403	-0.007391674	-0.002668388	-0.000833108
A_103	-0.007391674	0.012081949	-0.000833108
A_1102	0.002555579	-0.007585166	-0.000833108
A_8001	-0.002418048	-0.002668388	-0.000833108
B_1301	0.002555579	-0.002668388	-0.000833108
A_2901	-0.019043566	-0.013739066	-0.001959597
B_1803	-0.00186242	0.011531597	-0.002041112
DRB1_1305	-0.008535287	-0.008758716	-0.002539851
B_1510	0.00372754	-0.003980611	-0.002609834
B_2707	0.0170166	-0.009390116	-0.003498597
A_203	0.05516586	0.052358682	-0.003515988
DRB3_224	-0.00293362	-0.000342949	-0.003592091
DRB1_810	0.004346868	0.004136699	-0.003636547
DPB1_4501	0.004346868	0.004136699	-0.003636547
B_3909	-0.004267467	0.012652574	-0.003636547
B_3924	-0.004267467	-0.004379177	-0.003636547
DRB1_1304	0.004346868	-0.004379177	-0.003636547
A_3104	-0.004267467	-0.004379177	-0.003636547
B_1502	-0.004267467	0.004136699	-0.003636547
B_3509	-0.004267467	-0.004379177	-0.003636547
DRB1_1111	-0.004267467	0.012652574	-0.003636547
C_306	-0.004267467	0.004136699	-0.003636547
A_1103	0.004346868	0.004136699	-0.003636547
DRB1_1410	-0.004267467	-0.004379177	-0.003636547
B_4012	-0.004267467	-0.004379177	-0.003636547
DPB1_3501	-0.004267467	0.004136699	-0.003636547
DRB1_1406	-0.004267467	-0.004379177	-0.003636547
B_3520	0.004346868	0.004136699	-0.003636547
C_1403	0.004346868	-0.004379177	-0.003636547
DRB1_1312	0.004346868	-0.004379177	-0.003636547
A_3401	0.004346868	-0.004379177	-0.003636547
B_5123	-0.004267467	-0.004379177	-0.003636547
B_5703	-0.005690213	0.001633199	-0.003898146
DPB1_1801	0.005867769	-0.005984052	-0.003898146
B_1527	0.002015109	-0.005984052	-0.003898146
DPA1_105	0.004547569	-0.002147785	-0.004465834
DQA1_302	0.004426758	0.001055712	-0.004599019
DPA1_301	9.72531E-05	0.013610331	-0.00504327
DRB1_1402	0.007131314	0.006656668	-0.00504327
DRB1_1202	5.6146E-05	0.005850256	-0.005142925
DRB1_1415	5.6146E-05	-0.006193177	-0.005142925
C_804	-0.006035193	-0.00017146	-0.005142925
DPB1_2101	0.012238824	-0.006193177	-0.005142925
B_8101	0.012238824	0.011871973	-0.005142925
C_210	0.006147485	-0.006193177	-0.005142925
C_305	5.6146E-05	-0.00017146	-0.005142925
