MarkerName	Freq1	FreqSE	MinFreq	MaxFreq	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
DQA1_301	0.2054	0.0002	0.2051	0.2055	-0.0999	0.0264	0.0001519	--	0	0.004	1	0.9471
DQB1_302	0.1038	0.0005	0.1031	0.1041	-0.1065	0.035	0.002345	--	0	0.113	1	0.7365
DRB1_401	0.1186	0.0002	0.1184	0.119	-0.1026	0.0339	0.002473	--	0	0.247	1	0.6195
DRB1_1104	0.0124	0.0002	0.0122	0.0125	0.2819	0.0935	0.002567	++	33	1.492	1	0.2219
DRB4_103	0.2631	0.0003	0.2626	0.2633	-0.0691	0.0243	0.004484	--	0	0.221	1	0.6387
DQB1_603	0.0529	0.0003	0.0523	0.053	-0.2168	0.0815	0.007823	--	0	0.786	1	0.3753
DRB1_404	0.0424	0	0.0423	0.0424	-0.1473	0.0557	0.008178	--	0	0.688	1	0.4069
B_702	0.1487	0.0004	0.1485	0.1493	0.0734	0.0288	0.01096	++	77.7	4.494	1	0.03402
DRB1_801	0.0183	0.0002	0.018	0.0185	0.1602	0.0742	0.03084	++	85.3	6.799	1	0.009123
C_702	0.1582	0	0.1582	0.1583	0.0604	0.0282	0.03192	++	75.5	4.078	1	0.04345
DRB4_9901	0.6506	0.0003	0.6504	0.6511	0.0469	0.022	0.03305	++	0	0.008	1	0.9292
DQA1_102	0.1909	0.001	0.1894	0.1916	0.0554	0.0263	0.03487	++	66.9	3.02	1	0.08224
A_2301	0.0168	0.0003	0.0164	0.017	0.1589	0.0774	0.04015	++	0	0.473	1	0.4917
DRB1_1302	0.0381	0.0002	0.0378	0.0382	0.0991	0.0528	0.06052	++	61.8	2.615	1	0.1059
B_4403	0.0591	0	0.059	0.0591	0.0798	0.0434	0.06626	++	0	0.045	1	0.832
B_4402	0.1136	0.0001	0.1135	0.1138	-0.0598	0.0335	0.07424	--	0	0.745	1	0.388
DQB1_604	0.0278	0.0001	0.0277	0.0278	0.1093	0.0614	0.07517	++	13.6	1.157	1	0.282
DRB5_101	0.144	0.0008	0.1428	0.1446	0.0508	0.0293	0.08352	++	27.5	1.378	1	0.2404
DRB3_301	0.038	0.0003	0.0376	0.0383	0.0914	0.0531	0.08544	++	38.5	1.627	1	0.2021
B_801	0.1452	0.0003	0.1451	0.1456	-0.0508	0.0301	0.09191	--	0	0.5	1	0.4794
A_2501	0.0181	0.0001	0.0181	0.0183	-0.1469	0.088	0.09505	--	0	0.088	1	0.7665
DQB1_202	0.1047	0.0001	0.1045	0.1048	0.0629	0.0377	0.09548	++	0	0	1	0.9914
DQA1_401	0.0195	0.0002	0.0192	0.0196	0.1194	0.0718	0.09616	+-	85.4	6.86	1	0.008813
DRB5_9901	0.8488	0.0009	0.8482	0.8502	-0.0476	0.0287	0.09782	--	0	0.751	1	0.3862
DQB1_402	0.0199	0.0001	0.0197	0.02	0.1166	0.0712	0.1016	+-	80.6	5.156	1	0.02316
DRB1_1501	0.1446	0.0008	0.1434	0.1451	0.0476	0.0294	0.1056	++	24.9	1.332	1	0.2485
DRB1_1401	0.0202	0.0002	0.0199	0.0203	-0.1244	0.0784	0.1124	--	0	0.014	1	0.905
DPB1_1401	0.0108	0	0.0108	0.0108	-0.1803	0.1159	0.1197	--	0	0.038	1	0.8459
DRB1_701	0.1459	0.0001	0.1458	0.146	0.0451	0.0292	0.123	++	0	0.011	1	0.9181
DQA1_201	0.146	0	0.146	0.1461	0.0447	0.0294	0.128	++	0	0.01	1	0.9217
B_3701	0.0136	0.0002	0.0133	0.0137	-0.1444	0.095	0.1286	--	0	0.092	1	0.7615
B_1302	0.0193	0.0002	0.019	0.0195	0.1086	0.0728	0.1358	++	0	0.951	1	0.3296
A_2902	0.0425	0	0.0424	0.0425	0.0746	0.0507	0.1409	++	0	0.02	1	0.8865
B_1801	0.0365	0.0004	0.0358	0.0368	0.0806	0.055	0.1429	++	0	0.058	1	0.8092
C_501	0.1142	0.0002	0.1139	0.1143	-0.0482	0.0333	0.1473	--	35.4	1.548	1	0.2135
DQB1_602	0.1433	0.0011	0.1418	0.144	0.0424	0.0297	0.1537	++	35.4	1.548	1	0.2134
B_4001	0.056	0.0001	0.0559	0.0561	-0.0646	0.0461	0.1614	--	0	0.03	1	0.8633
DQB1_503	0.0218	0.0002	0.0215	0.0219	-0.1019	0.0732	0.1636	--	0	0.101	1	0.7509
DPB1_402	0.1088	0.0001	0.1088	0.109	0.0465	0.0338	0.1681	++	0	0.191	1	0.6623
DPB1_501	0.021	0	0.021	0.0211	-0.0962	0.0765	0.2087	--	23.9	1.314	1	0.2516
C_1502	0.0181	0.0002	0.0179	0.0184	-0.1007	0.0817	0.2178	--	0	0.004	1	0.9521
DRB1_103	0.0175	0.0002	0.0173	0.0176	0.0947	0.0789	0.2301	++	0	0.004	1	0.9524
C_202	0.0364	0.0004	0.0362	0.037	0.0599	0.055	0.2756	-+	48.1	1.926	1	0.1652
